design,regime,p,seed,m,estimate,standard_error,population_reference,absolute_difference,tolerance,agrees_with_population
fixed_cardinality,independent,1,101,8192,0.5252882270203939,0.003618063509832627,0.5244545508842997,0.0008336761360941969,0.028255247805262947,true
fixed_cardinality,independent,1,202,8192,0.5230861705065823,0.0036062938852619315,0.5244545508842997,0.0013683803777173598,0.028192065621185397,true
fixed_cardinality,independent,1,303,8192,0.5297909274090263,0.003632483983058736,0.5244545508842997,0.005336376524726627,0.02833271612111078,true
bernoulli_conditioned_nonempty,independent,0.125,101,8192,0.09085122270597638,0.0038099409173791214,0.09157173559371852,0.0007205128877421363,0.02724720500251897,true
bernoulli_conditioned_nonempty,independent,0.125,202,8192,0.08901962429811246,0.0038597217817768685,0.09157173559371852,0.002552111295606063,0.027540973391643266,true
bernoulli_conditioned_nonempty,independent,0.125,303,8192,0.0859362028601875,0.003850795709299484,0.09157173559371852,0.005635532733531026,0.027488289449412246,true
bernoulli_conditioned_nonempty,independent,0.25,101,8192,0.18514738475378853,0.0036371613475193274,0.18572786625410365,0.0005804815003151165,0.026279355261161215,true
bernoulli_conditioned_nonempty,independent,0.25,202,8192,0.18689281795442786,0.0036093206924398416,0.18572786625410365,0.0011649517003242127,0.026115758766104346,true
bernoulli_conditioned_nonempty,independent,0.25,303,8192,0.18718229108585588,0.003663255106932061,0.18572786625410365,0.0014544248317522324,0.02643273282580033,true
bernoulli_conditioned_nonempty,independent,0.375,101,8192,0.2735635395126721,0.003337784033792366,0.2722926108583135,0.0012709286543585718,0.02461333303968635,true
bernoulli_conditioned_nonempty,independent,0.375,202,8192,0.2759067080983547,0.0032868210915189154,0.2722926108583135,0.003614097240041192,0.024316386532450638,true
bernoulli_conditioned_nonempty,independent,0.375,303,8192,0.2701978536261978,0.003366789023572812,0.2722926108583135,0.002094757232115718,0.024782451194058547,true
bernoulli_conditioned_nonempty,independent,0.5,101,8192,0.34304732268583543,0.0030367177619019903,0.3439656068921055,0.000918284206270048,0.022987740186853383,true
bernoulli_conditioned_nonempty,independent,0.5,202,8192,0.3415005185224835,0.0030134404996033284,0.3439656068921055,0.002465088369622004,0.022853762411110253,true
bernoulli_conditioned_nonempty,independent,0.5,303,8192,0.346759038740601,0.002999340305817258,0.3439656068921055,0.002793431848495509,0.022772645726450186,true
bernoulli_conditioned_nonempty,independent,0.625,101,8192,0.40212024898928495,0.002938035938619108,0.400676549799076,0.0014436991902089247,0.02269892651216156,true
bernoulli_conditioned_nonempty,independent,0.625,202,8192,0.3976473946613143,0.002926212981170592,0.400676549799076,0.0030291551377616965,0.022632065724206642,true
bernoulli_conditioned_nonempty,independent,0.625,303,8192,0.3986173305957031,0.0029481563611996925,0.400676549799076,0.0020592192033729306,0.022756182976073503,true
bernoulli_conditioned_nonempty,independent,0.75,101,8192,0.4486476292523106,0.0030294714960260945,0.44648904551471924,0.0021585837375913686,0.023621502915342624,true
bernoulli_conditioned_nonempty,independent,0.75,202,8192,0.44966895532077483,0.003078586189834165,0.44648904551471924,0.003179909806055592,0.023894803604079865,true
bernoulli_conditioned_nonempty,independent,0.75,303,8192,0.4511905400610968,0.003052832543211516,0.44648904551471924,0.004701494546377583,0.023751419704832376,true
bernoulli_conditioned_nonempty,independent,0.875,101,8192,0.48877873272943884,0.003273788956320071,0.48688085900356226,0.0018978737258765754,0.025553264489384768,true
bernoulli_conditioned_nonempty,independent,0.875,202,8192,0.48761819266339934,0.00324496881099881,0.48688085900356226,0.0007373336598370805,0.02539579011131204,true
bernoulli_conditioned_nonempty,independent,0.875,303,8192,0.48109766855066893,0.0032494778113096377,0.48688085900356226,0.0057831904528933276,0.02542041174005554,true
bernoulli_conditioned_nonempty,independent,1,101,8192,0.5252882270203939,0.003618063509832627,0.5244545508842997,0.0008336761360941969,0.028255247805262947,true
bernoulli_conditioned_nonempty,independent,1,202,8192,0.5230861705065823,0.0036062938852619315,0.5244545508842997,0.0013683803777173598,0.028192065621185397,true
bernoulli_conditioned_nonempty,independent,1,303,8192,0.5297909274090263,0.003632483983058736,0.5244545508842997,0.005336376524726627,0.02833271612111078,true
fixed_cardinality,positive_block,0.125,101,8192,-0.0026393366719718744,0.0039025875630821177,-0.0000015979630249293005,0.002637738708946945,0.028137421444146497,true
fixed_cardinality,positive_block,0.125,202,8192,0.00018601765747431362,0.0040005805487375486,-0.0000015979630249293005,0.00018761562049924291,0.02870820704525618,true
fixed_cardinality,positive_block,0.125,303,8192,0.0019208936819341258,0.003928383046503064,-0.0000015979630249293005,0.001922491644959055,0.02828759449149718,true
fixed_cardinality,positive_block,0.25,101,8192,0.17989128147876965,0.003324742500166777,0.18096910700761676,0.0010778255288471095,0.02475432830161389,true
fixed_cardinality,positive_block,0.25,202,8192,0.18141688436848744,0.0033584279050825764,0.18096910700761676,0.000447777360870677,0.024948667119775603,true
fixed_cardinality,positive_block,0.25,303,8192,0.18225853283697835,0.0033649723695273587,0.18096910700761676,0.0012894258293615901,0.02498644067108083,true
fixed_cardinality,positive_block,0.375,101,8192,0.2693252953692438,0.0033061531212918538,0.27145359692925175,0.002128301560007928,0.024933826015864892,true
fixed_cardinality,positive_block,0.375,202,8192,0.27705549470006696,0.003336427560467927,0.27145359692925175,0.005601897770815212,0.02510603435598685,true
fixed_cardinality,positive_block,0.375,303,8192,0.2738540477561159,0.003335970796761854,0.27145359692925175,0.002400450826864131,0.025103434997592777,true
fixed_cardinality,positive_block,0.5,101,8192,0.33559260262396035,0.0035514220593050746,0.33553662325003963,0.000055979373920711506,0.02659632307063804,true
fixed_cardinality,positive_block,0.5,202,8192,0.33249604407887545,0.0034983131678093023,0.33553662325003963,0.0030405791711641816,0.026296082298817035,true
fixed_cardinality,positive_block,0.5,303,8192,0.337645751926151,0.003577914492881135,0.33553662325003963,0.0021091286761113492,0.02674628016653394,true
fixed_cardinality,positive_block,0.625,101,8192,0.39235741704394145,0.0037338274307468543,0.390165219810293,0.0021921972336484408,0.0279426283542822,true
fixed_cardinality,positive_block,0.625,202,8192,0.38858136678254807,0.0036901110432074275,0.390165219810293,0.0015838530277449414,0.027697378182849956,true
fixed_cardinality,positive_block,0.625,303,8192,0.3965104822676757,0.003757943602668315,0.390165219810293,0.0063452624573827054,0.02807807456354947,true
fixed_cardinality,positive_block,0.75,101,8192,0.4371564538255962,0.003759677899140725,0.4394122028801931,0.0022557490545969117,0.028442599407897638,true
fixed_cardinality,positive_block,0.75,202,8192,0.4358472483053976,0.0037587238551581837,0.4394122028801931,0.003564954574795498,0.028437316585924185,true
fixed_cardinality,positive_block,0.75,303,8192,0.4386330770516922,0.003753437902374155,0.4394122028801931,0.0007791258285009262,0.02840805031861125,true
fixed_cardinality,positive_block,0.875,101,8192,0.4890908477990822,0.0037296183726857252,0.4835224165090735,0.0055684312900086685,0.028629488693459774,true
fixed_cardinality,positive_block,0.875,202,8192,0.4839215098709689,0.0037274299228261276,0.4835224165090735,0.00039909336189536404,0.02861755909416348,true
fixed_cardinality,positive_block,0.875,303,8192,0.4840308648955465,0.003728919759179988,0.4835224165090735,0.0005084483864729594,0.028625680303785955,true
fixed_cardinality,positive_block,1,101,8192,0.5221506556957027,0.003716610530859832,0.5228204804855534,0.0006698247898506704,0.028919031885624596,true
fixed_cardinality,positive_block,1,202,8192,0.51607140554328,0.003699480642175373,0.5228204804855534,0.006749074942273392,0.02882709859671748,true
fixed_cardinality,positive_block,1,303,8192,0.5252463857051775,0.0036858879848497466,0.5228204804855534,0.002425905219624047,0.02875420975252876,true
bernoulli_conditioned_nonempty,positive_block,0.125,101,8192,0.0845775482386113,0.003806660219525126,0.08134639632921374,0.003231151909397559,0.027408340827444404,true
bernoulli_conditioned_nonempty,positive_block,0.125,202,8192,0.08808695782023844,0.0038880298533603497,0.08134639632921374,0.006740561491024699,0.02788494355001126,true
bernoulli_conditioned_nonempty,positive_block,0.125,303,8192,0.08018751687010256,0.003921771498366282,0.08134639632921374,0.0011588794591111812,0.02808271346836128,true
bernoulli_conditioned_nonempty,positive_block,0.25,101,8192,0.16707383236258985,0.0037398787860200102,0.16933489699720666,0.0022610646346168106,0.027176159453433678,true
bernoulli_conditioned_nonempty,positive_block,0.25,202,8192,0.1684799749776822,0.003733368299488645,0.16933489699720666,0.0008549220195244733,0.02713834060448449,true
bernoulli_conditioned_nonempty,positive_block,0.25,303,8192,0.167270556113368,0.00382723838421222,0.16933489699720666,0.0020643408838386668,0.027684014405664384,true
bernoulli_conditioned_nonempty,positive_block,0.375,101,8192,0.24821677778685208,0.003694276495352232,0.25045260584491635,0.002235828058064271,0.02709889804255676,true
bernoulli_conditioned_nonempty,positive_block,0.375,202,8192,0.25649903765680154,0.00375103103778999,0.25045260584491635,0.006046431811885189,0.02742586330501184,true
bernoulli_conditioned_nonempty,positive_block,0.375,303,8192,0.2491355954140967,0.0036572376309022764,0.25045260584491635,0.001317010430819665,0.026885728922460796,true
bernoulli_conditioned_nonempty,positive_block,0.5,101,8192,0.32170280185883754,0.003733950468648498,0.3212594558439823,0.0004433460148552393,0.027568200272827945,true
bernoulli_conditioned_nonempty,positive_block,0.5,202,8192,0.31401860399222425,0.003703402090995501,0.3212594558439823,0.007240851851758046,0.02739403552467658,true
bernoulli_conditioned_nonempty,positive_block,0.5,303,8192,0.3263625782453071,0.003794063110747683,0.3212594558439823,0.005103122401324822,0.02791131741240338,true
